phish_attachment,phish_link,social_contact,macro_exec,powershell_exec,signed_binary_proxy,dll_sideload,scheduled_task,new_service,credential_access,valid_accounts_use,smb_lateral,rdp_lateral,ssh_lateral,network_discovery,defense_evasion,packed_payload,c2_beaconing,cloud_exfil,crypto_targeting,failed_login_burst,outbound_conn_count,rare_parent_child_score,offhours_activity_score,archive_attachment_kb,script_chain_depth,target
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,16,0.12,0.222,823,2,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,14,0.216,0.371,581,2,0
0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0.348,0.02,735,2,0
0,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,6,25,0.856,0.385,202,7,1
1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,4,22,0.579,0.821,1479,3,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0.402,0.337,870,1,0
1,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,9,20,0.618,0.867,886,3,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,15,0.329,0.338,670,3,0
0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,6,0.22,0.083,828,3,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,7,14,0.282,0.278,106,2,0
0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,6,13,0.346,0.293,300,3,0
0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,5,27,0.554,0.899,754,3,1
0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,5,22,0.579,0.427,1296,4,1
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,0.257,0.278,630,1,0
1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,7,0.245,0.201,778,3,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,11,0.59,0.499,892,2,0
0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,3,10,0.112,0.22,350,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,1,0,7,24,0.758,0.383,789,6,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,4,19,0.433,0.27,379,3,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,4,19,0.479,0.615,200,3,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,13,0.3,0.53,414,2,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,5,18,0.332,0.22,421,2,0
1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,5,23,0.52,0.57,2151,3,1
1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,6,31,0.618,0.874,954,7,1
1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,5,14,0.4,0.472,796,2,0
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,14,0.292,0.093,984,2,0
1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,10,0.408,0.198,152,3,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,12,0.514,0.16,875,1,0
0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,15,0.257,0.23,942,1,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,15,0.115,0.075,909,3,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0.316,0.153,211,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,15,0.244,0.042,858,3,0
0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,20,0.081,0.546,414,2,0
1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,7,0.388,0.23,336,2,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,14,0.232,0.125,390,3,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4,13,0.234,0.277,260,1,0
1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,2,13,0.146,0.116,135,1,0
1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,9,0.069,0.165,107,3,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,7,28,0.876,0.527,622,2,1
1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,6,17,0.621,0.743,719,5,1
1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3,18,0.076,0.104,807,2,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,8,0.426,0.258,83,2,0
1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,5,12,0.13,0.402,895,3,0
1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,16,0.501,0.227,733,1,0
0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,4,15,0.025,0.266,682,1,0
1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,2,16,0.754,0.483,733,1,0
0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,19,0.29,0.121,92,1,0
1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,7,22,0.601,0.724,424,7,1
1,1,0,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,0,0,7,18,0.936,0.64,143,4,1
0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,11,0.185,0.167,903,1,0
1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,4,30,0.691,0.792,1093,3,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,17,0.265,0.386,146,2,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,3,20,0.299,0.071,815,1,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,7,13,0.254,0.441,596,2,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,4,12,0.289,0.612,81,3,0
1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,5,21,0.587,0.881,1700,3,1
1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3,13,0.399,0.034,354,2,0
1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0.3,0.02,263,2,0
1,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,0,4,29,0.764,0.719,2030,4,1
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,14,0.391,0.132,354,3,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21,0.276,0.438,200,3,0
1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,4,7,0.139,0.087,621,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,12,0.249,0.225,699,2,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2,13,0.249,0.18,702,2,0
0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,6,7,0.232,0.034,338,3,0
1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,10,19,0.847,0.83,2199,3,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0.321,0.059,929,2,0
0,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,6,23,0.617,0.772,1932,4,1
0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,16,0.438,0.081,894,2,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,15,0.316,0.271,529,3,0
0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,4,16,0.079,0.229,594,1,0
0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,6,19,0.734,0.482,886,4,1
0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,13,0.129,0.115,337,1,0
1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,3,13,0.874,0.564,650,4,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,14,0.412,0.124,365,2,0
0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,18,0.302,0.437,646,3,0
0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,3,12,0.328,0.043,648,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,4,13,0.158,0.206,176,1,0
1,1,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,4,27,0.521,0.656,2207,2,1
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,4,18,0.431,0.275,727,2,0
1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,5,20,0.847,0.527,1611,5,1
0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,1,0,0,7,20,0.932,0.471,822,2,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,16,0.431,0.078,518,1,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,19,0.093,0.123,205,1,0
0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,13,0.44,0.102,862,3,0
0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,12,0.776,0.217,95,2,0
0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,11,0.44,0.413,570,3,0
0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0.026,0.243,709,3,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,14,0.382,0.479,767,2,0
0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,3,10,0.079,0.128,583,2,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,13,0.114,0.057,692,2,0
0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,3,12,0.453,0.261,398,2,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,9,0.145,0.38,632,3,0
1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,19,0.242,0.19,903,1,0
1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,0,5,18,0.933,0.932,1079,7,1
1,0,1,1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,3,7,0.369,0.408,768,3,0
1,1,0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,9,29,0.724,0.918,1312,6,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,2,20,0.576,0.265,459,3,0
1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,6,9,0.321,0.128,567,1,0
1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1,10,29,0.729,0.311,861,6,1
1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,10,21,0.889,0.256,2140,2,1
1,1,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,6,22,0.48,0.487,1288,6,1
0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,17,0.546,0.074,284,1,0
0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,3,10,0.093,0.099,87,3,0
0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,5,19,0.578,0.819,266,4,1
0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,3,16,0.267,0.143,464,2,0
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0.021,0.145,533,3,0
0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,17,0.298,0.309,305,1,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,16,0.095,0.135,138,3,0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,9,0.572,0.065,353,2,0
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5,10,0.311,0.585,422,3,0
1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,5,24,0.733,0.58,1179,6,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0.146,0.4,83,1,0
0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9,0.294,0.233,835,3,0
1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,4,25,0.46,0.744,139,6,1
1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,5,22,0.503,0.394,513,3,0
1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,5,20,0.635,0.916,643,3,1
0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,6,10,0.392,0.738,674,3,0
0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,12,0.143,0.23,86,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0.367,0.28,396,3,0
0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,10,23,0.565,0.532,2170,2,1
0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,4,16,0.115,0.375,172,3,0
1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,8,19,0.611,0.593,1787,7,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,6,22,0.91,0.834,361,4,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,5,17,0.284,0.105,772,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,13,0.27,0.709,510,3,0
0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,13,0.052,0.453,478,1,0
0,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,6,23,0.554,0.847,1568,6,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,15,0.291,0.088,644,2,0
1,1,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,5,15,0.286,0.094,803,3,0
0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1,0,7,20,0.864,0.775,185,2,1
0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,14,0.031,0.269,122,3,0
0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,13,0.545,0.356,933,3,0
1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,2,13,0.556,0.549,586,1,0
0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,10,0.135,0.304,850,2,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,17,0.327,0.129,458,2,0
1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,1,0,1,0,8,18,0.952,0.702,1044,5,1
0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,13,0.05,0.182,662,3,0
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,2,14,0.384,0.5,613,2,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,17,0.196,0.137,401,1,0
0,0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,4,19,0.875,0.61,197,5,1
0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,5,18,0.191,0.299,806,3,0
0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,15,0.396,0.301,761,2,0
0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,3,13,0.563,0.54,785,2,0
1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,11,0.086,0.183,378,1,0
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,13,0.144,0.307,589,3,0
1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,6,16,0.893,0.88,1824,3,1
1,1,0,0,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,0,8,23,0.345,0.689,288,4,1
1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,3,16,0.139,0.628,789,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,0.312,0.083,240,2,0
1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,8,0.247,0.466,691,2,0
0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,2,9,0.183,0.569,536,1,0
1,0,1,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,0,0,1,28,0.607,0.595,1483,7,1
1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,24,0.612,0.688,585,4,1
0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,7,15,0.511,0.573,1446,3,1
1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,16,0.48,0.722,708,3,0
0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,5,17,0.327,0.204,227,2,0
1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,5,13,0.553,0.325,829,1,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,11,0.213,0.39,378,1,0
1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,24,0.817,0.633,151,2,1
0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,13,0.293,0.439,807,3,0
0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,9,23,0.695,0.532,1661,4,1
0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,14,0.077,0.083,975,3,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,8,0.258,0.39,539,3,0
0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,13,0.693,0.09,778,3,0
0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,13,0.318,0.047,348,2,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,16,0.344,0.609,795,1,0
1,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,1,0,22,0.646,0.56,1825,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,10,0.181,0.323,301,1,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,11,0.417,0.389,732,2,0
1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,3,15,0.056,0.17,381,3,0
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,15,0.586,0.533,167,2,0
1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,3,21,0.708,0.695,2124,2,1
0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,3,20,0.6,0.899,1965,7,1
0,1,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,1,0,0,5,17,0.741,0.669,810,3,1
1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,5,13,0.479,0.773,1434,2,1
1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,7,0.238,0.208,755,2,0
0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,22,0.055,0.261,795,1,0
0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,5,14,0.092,0.094,290,3,0
1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,7,0.256,0.209,656,1,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,0.348,0.092,954,1,0
0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,4,24,0.605,0.808,399,3,1
1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3,19,0.265,0.367,844,1,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,13,0.403,0.033,789,2,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2,16,0.378,0.132,471,3,0
1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,8,24,0.597,0.397,864,4,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,6,0.214,0.272,193,1,0
1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,4,20,0.31,0.443,829,1,0
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2,13,0.586,0.082,410,1,0
0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,11,0.244,0.258,925,3,0
0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,6,23,0.561,0.802,1449,3,1
1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,10,0.17,0.186,80,1,0
0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,4,19,0.096,0.231,408,1,0
1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3,9,0.403,0.31,756,3,0
0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,1,1,1,0,8,21,0.709,0.659,809,6,1
1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,2,14,0.274,0.181,303,1,0
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,12,0.335,0.443,822,1,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,12,0.299,0.569,178,2,0
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,16,0.421,0.252,166,2,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,5,0.359,0.375,649,3,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,10,0.315,0.339,252,3,0
1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,25,0.771,0.907,962,5,1
0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,10,0.416,0.291,809,1,0
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0.263,0.398,586,1,0
0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,3,15,0.426,0.379,897,3,0
1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,8,18,0.768,0.788,1159,2,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,16,0.145,0.184,493,1,0
1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,2,22,0.611,0.748,984,7,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,5,19,0.232,0.407,669,3,0
1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,14,0.679,0.459,190,2,0
0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,3,12,0.146,0.075,847,3,0
1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,6,11,0.631,0.112,916,3,0
0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,3,12,0.396,0.193,133,2,0
1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,2,9,0.019,0.197,613,2,0
0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,5,20,0.792,0.869,940,5,1
0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,5,12,0.441,0.263,746,1,0
1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,3,14,0.047,0.292,644,2,0
1,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,2,26,0.537,0.334,1683,3,1
1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,6,19,0.561,0.666,1861,7,1
0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,7,8,0.298,0.224,937,1,0
1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,8,25,0.669,0.654,2227,2,1
1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,12,0.637,0.602,867,1,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13,0.145,0.079,351,3,0
1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6,18,0.896,0.685,1856,5,1
1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,3,10,0.275,0.459,491,3,0
0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,3,13,0.403,0.208,967,2,0
1,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,7,24,0.245,0.245,997,5,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,12,0.192,0.335,562,3,0
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,13,0.496,0.315,236,3,0
0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,11,0.196,0.331,492,3,0
1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,2,28,0.403,0.633,1785,3,1
1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,10,26,0.888,0.596,219,2,1
0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,4,19,0.797,0.804,1075,3,1
1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,5,22,0.816,0.439,1989,5,1
0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,4,9,0.313,0.412,401,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,11,0.405,0.22,616,1,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0.448,0.096,804,2,0
